trase_code,uml_id,group,company,mill_name,latitude,longitude,capacity_tonnes_ffb_hour,status,earliest_year_of_existence,earliest_year_of_existence_source,kabupaten_name,kabupaten_trase_id,province_name
M-00296,PO1000004427,SALIM GROUP,MULTI PACIFIC INTERNATIONAL,CIPTA GRAHA,1.000403,117.768977,45,Operating,2011,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),KUTAI TIMUR,ID-6404,KALIMANTAN TIMUR
M-00297,PO1000006293,INDOGUNTA,GUNTA SAMBA,AMPENAS,1.2123174,117.8084828,60,Operating,2010,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),KUTAI TIMUR,ID-6404,KALIMANTAN TIMUR
M-00298,PO1000008131,UNKNOWN,GUNUNG SAWIT ABADI,KINALI,-0.046298386,99.91480448,45,Operating,2017,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",PASAMAN BARAT,ID-1312,SUMATERA BARAT
M-00299,PO1000009580,UNKNOWN,GUNUNG SAWIT MAS,GUNUNG SAWIT MAS,1.0819503,100.2951493,40,Operating,2014,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",ROKAN HULU,ID-1407,RIAU
M-00300,PO1000004320,UNKNOWN,HARAPAN JAYA SAWITA,HARAPAN JAYA SAWITA,3.863000841,98.42133106,,Operating,2013,"Earliest year mill found to exist based on photo-interpretation of high-resolution satellite imagery, manufacturing census data, traceability reports and other secondary sources (or combination of these sources)",LANGKAT,ID-1213,SUMATERA UTARA
M-00301,PO1000006210,KPN CORP,HARAPAN SAWIT SEJAHTERAH,HARAPAN SAWIT SEJAHTERAH,-1.7533389,116.121336,30,Operating,2005,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),PASER,ID-6401,KALIMANTAN TIMUR
M-00302,PO1000006348,CENTRAL CIPTA MURDAYA (CCM),HARDAYA INTI PLANTATIONS,LEOK,1.026388889,121.3608333,90,Operating,2000,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",BUOL,ID-7207,SULAWESI TENGAH
M-00304,PO1000004555,CENTRAL CIPTA MURDAYA (CCM),SEBAKIS INTI LESTARI,SEBAKIS INTI LESTARI,4.008269525,117.2549204,60,Operating,2011,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),NUNUKAN,ID-6504,KALIMANTAN UTARA
M-00305,PO1000004203,GROWTH STEEL,HARKAT SEJAHTERA,HARKAT SEJAHTERA,3.061718098,99.42965535,45,Operating,2005,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",SIMALUNGUN,ID-1209,SUMATERA UTARA
M-00306,PO1000004260,SUPERVENTURE,HASIL KARYA BUMI SEJATI,HASIL KARYA BUMI SEJATI,1.451305963,100.6159142,45,Operating,2007,Establishment year based on other government record of establishment (e.g. Permit database),ROKAN HILIR,ID-1409,RIAU
